# JD    flux    err_flux    mag   err_mag
2460806.8791619255 16.68 9.091745640130515 24.3445098842457 0.5918008037135237
2460858.574458051 17.08 10.779872145825614 24.318780334117534 0.6852516083949987
2460861.713647004 17.48 11.264875400431311 24.29364642925404 0.6996958274792623
2460862.7089203843 16.86 8.885489629749136 24.33285607427819 0.572200343299024
2460872.701498989 16.88 13.663307795267164 24.331568894275907 0.8788357790329109
2460898.5669932473 16.42 7.384089919665584 24.361567118041442 0.4882566239324282
2460916.556018517 16.16 9.421484609373529 24.37889660890358 0.6329979543916054
2460916.556467955 17.62 9.025000731478283 24.284985239809927 0.5561163474537214
2460927.584674913 15.96 8.178899338814308 24.392417782463223 0.5563989428084598
2460951.5022132313 17.14 8.91681155263623 24.31497295603205 0.564836938955817
2461145.883203362 17.86 11.575715482001588 24.27029636361868 0.7037051172893799
2461154.884799488 16.78 10.735735287098274 24.338020108768294 0.6946469896246726
2461170.8142512096 17.7 8.839006039649822 24.280066834095482 0.5421937215437053
2461173.796600702 17.08 8.2059987548126 24.318780334117534 0.5216364136007124
2461198.7821549727 16.66 11.085904153331139 24.345812507323075 0.7224710385204163
2461209.7612255868 16.82 8.798013791653789 24.335435021345265 0.5679145126967815
2461213.6988304695 17.1 10.388250897519706 24.317509724019615 0.6595848013770922
2461213.700200858 17.62 6.948514616961883 24.284985239809927 0.4281642388721102
2461217.672168521 18.44 11.243648190523995 24.235597708205972 0.6620193011938791
2461226.699998332 16.74 7.019898191669779 24.340611365856894 0.45530212786212676
2461226.700445412 17.0 6.991089338462461 24.323877696554312 0.4464987532627797
2461252.6113847494 18.34 14.111428137940266 24.24150167166499 0.8354028587897677
2461252.6136337654 17.4 5.902172838917024 24.2986268792935 0.3682875136754187
2461269.486506379 17.06 10.280211410093564 24.320052432921237 0.6542554349651938
2461273.4879101017 18.06 11.43021904135892 24.25820563505628 0.6871651518006169
2461281.490577065 16.56 7.69575248848872 24.352349168877844 0.5045626267880239
2461282.486206787 16.36 10.126035192983876 24.365541751661738 0.6720172994912939
2461488.8877530196 17.6 9.419966617614767 24.286218330464624 0.5811135684293938
2461488.890004043 16.94 8.466279493349209 24.327716485013276 0.5426296437739403
2461511.9187386604 17.72 10.016631187727711 24.27884070612242 0.6137369712316817
2461516.8369038166 16.76 8.31164760516609 24.339314964264354 0.5384401387899778
2461540.7808114146 17.1 15.781898785500251 24.317509724019615 1.002045549195671
2461560.8836342306 17.64 8.357008835154607 24.283753548010495 0.5143711482886009
2461594.751829023 16.96 7.831746542045823 24.326435380198262 0.5013685593861106
2461596.7540437425 16.26 8.702710140737947 24.372198646854876 0.5811099310771775
2461596.7544912617 16.6 7.689226443251757 24.34972977989986 0.5029199720495188
2461616.7077365587 17.92 7.82700610640039 24.26665498668473 0.47422231610389864
2461640.675423551 17.22 7.836504472686173 24.309917132205907 0.4940985264079205
2461653.5809846283 17.48 8.934140930430825 24.29364642925404 0.5549267887059627
2461653.581432443 17.32 8.616177332359602 24.30363028079668 0.5401209974803196
2461665.5630377852 17.3 12.906223121480291 24.30488474217801 0.8099857635651809
2461665.5639540884 16.68 6.313195914355527 24.3445098842457 0.41093917098002997
2461825.896925073 18.0 7.680120877800002 24.261818737241732 0.46325473855256927
2461836.905239574 16.28 8.371265549237982 24.370863998617043 0.5582915286518504
2461886.85183345 17.12 13.902504784626814 24.31624059914716 0.8816853260217553
2461895.78041927 17.52 8.211961710570824 24.291164745419845 0.5089054875145117
2461896.899916026 17.32 9.143645054621196 24.30363028079668 0.5731862863314005
2461898.883198912 18.3 7.837781463654659 24.243872275673926 0.46501437705311616
2461899.8419401073 16.76 7.081425741939613 24.339314964264354 0.45874464852804514
2461922.770719113 15.8 8.017351232109018 24.403357282613943 0.5509321834786681
2461963.7675090707 17.5 6.397995128516342 24.292404878284263 0.3969448542226477
2461983.69843982 16.98 6.0679194803555125 24.325155785230166 0.3879952807643766
2461991.664952203 17.26 13.46420490127019 24.30739802155202 0.8469626146924044
2461993.6698242417 16.5 8.48569793390978 24.356290139465234 0.558377543605279
